player,prop,book_line,model_prediction,confidence_pct,edge,direction,run_date,run_timestamp
Julian Champagnie,PTS,11.5,19.412,9400.0,7.911999999999999,OVER,2026-01-10,2026-01-10 23:19:05
Jarrett Allen,PTS,12.5,16.998,8200.0,4.498000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Davion Mitchell,PTS,6.5,10.839,8100.0,4.339,OVER,2026-01-10,2026-01-10 23:19:05
Victor Wembanyama,REB,9.0,12.749,8400.0,3.749000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Sion James,PTS,4.5,8.09,7100.0,3.59,OVER,2026-01-10,2026-01-10 23:19:05
Nicolas Batum,PTS,3.5,6.721,7800.0,3.221,OVER,2026-01-10,2026-01-10 23:19:05
Ryan Kalkbrenner,PTS,6.5,9.679,7800.0,3.1790000000000003,OVER,2026-01-10,2026-01-10 23:19:05
Rudy Gobert,PTS,10.5,13.604,8300.0,3.103999999999999,OVER,2026-01-10,2026-01-10 23:19:05
Matas Buzelis,PTS,17.5,20.541,8700.0,3.0410000000000004,OVER,2026-01-10,2026-01-10 23:19:05
Darius Garland,PTS,18.5,21.28,9500.0,2.780000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Luke Kornet,PTS,6.5,8.524,7700.0,2.023999999999999,OVER,2026-01-10,2026-01-10 23:19:05
Kel'el Ware,PTS,9.5,11.489,8600.0,1.9890000000000008,OVER,2026-01-10,2026-01-10 23:19:05
Anfernee Simons,PTS,12.5,14.451,9400.0,1.9510000000000003,OVER,2026-01-10,2026-01-10 23:19:05
Neemias Queta,REB,7.5,9.358,9500.0,1.8580000000000003,OVER,2026-01-10,2026-01-10 23:19:05
Norman Powell,AST,2.5,4.26,8000.0,1.7599999999999998,OVER,2026-01-10,2026-01-10 23:19:05
Johnny Furphy,PTS,5.5,7.189,3800.0,1.689,OVER,2026-01-10,2026-01-10 23:19:05
Sion James,REB,2.5,4.154,7100.0,1.654,OVER,2026-01-10,2026-01-10 23:19:05
Darius Garland,AST,6.5,7.815,9500.0,1.3150000000000004,OVER,2026-01-10,2026-01-10 23:19:05
Donovan Mitchell,REB,4.5,5.812,9300.0,1.3120000000000005,OVER,2026-01-10,2026-01-10 23:19:05
De'Andre Hunter,PTS,11.5,12.782,9000.0,1.282,OVER,2026-01-10,2026-01-10 23:19:05
Sion James,AST,1.5,2.73,7100.0,1.23,OVER,2026-01-10,2026-01-10 23:19:05
Victor Wembanyama,AST,2.5,3.654,8400.0,1.154,OVER,2026-01-10,2026-01-10 23:19:05
Darius Garland,REB,2.5,3.493,9500.0,0.993,OVER,2026-01-10,2026-01-10 23:19:05
Jay Huff,PTS,9.5,10.476,4800.0,0.9760000000000008,OVER,2026-01-10,2026-01-10 23:19:05
Ryan Kalkbrenner,AST,0.5,1.474,7800.0,0.974,OVER,2026-01-10,2026-01-10 23:19:05
Luka Garza,PTS,8.5,9.405,8500.0,0.9049999999999994,OVER,2026-01-10,2026-01-10 23:19:05
Norman Powell,PTS,21.5,22.396,8000.0,0.8960000000000008,OVER,2026-01-10,2026-01-10 23:19:05
Victor Wembanyama,PTS,20.5,21.394,8400.0,0.8939999999999984,OVER,2026-01-10,2026-01-10 23:19:05
Derrick White,PTS,18.5,19.377,8900.0,0.8769999999999989,OVER,2026-01-10,2026-01-10 23:19:05
Donovan Mitchell,AST,5.0,5.839,9300.0,0.8390000000000004,OVER,2026-01-10,2026-01-10 23:19:05
Anthony Edwards,PTS,28.5,29.335,7900.0,0.8350000000000009,OVER,2026-01-10,2026-01-10 23:19:05
Miles Bridges,REB,6.5,7.321,8300.0,0.8209999999999997,OVER,2026-01-10,2026-01-10 23:19:05
De'Andre Hunter,AST,1.5,2.254,9000.0,0.754,OVER,2026-01-10,2026-01-10 23:19:05
Sam Merrill,REB,2.5,3.232,8500.0,0.7320000000000002,OVER,2026-01-10,2026-01-10 23:19:05
Daniel Gafford,PTS,10.5,11.181,8900.0,0.6809999999999992,OVER,2026-01-10,2026-01-10 23:19:05
John Collins,PTS,13.5,14.175,6000.0,0.6750000000000007,OVER,2026-01-10,2026-01-10 23:19:05
Duncan Robinson,AST,1.5,2.143,6800.0,0.6429999999999998,OVER,2026-01-10,2026-01-10 23:19:05
Derrick White,REB,4.5,5.122,8900.0,0.6219999999999999,OVER,2026-01-10,2026-01-10 23:19:05
T.J. McConnell,PTS,10.5,11.077,8700.0,0.577,OVER,2026-01-10,2026-01-10 23:19:05
Stephon Castle,REB,4.5,5.071,6700.0,0.5709999999999997,OVER,2026-01-10,2026-01-10 23:19:05
Anthony Edwards,REB,5.0,5.568,7900.0,0.5679999999999996,OVER,2026-01-10,2026-01-10 23:19:05
Brook Lopez,PTS,6.5,7.057,8600.0,0.5570000000000004,OVER,2026-01-10,2026-01-10 23:19:05
Isaiah Collier,REB,2.5,3.036,5300.0,0.536,OVER,2026-01-10,2026-01-10 23:19:05
Cooper Flagg,AST,5.5,5.986,9300.0,0.4859999999999997,OVER,2026-01-10,2026-01-10 23:19:05
Sam Merrill,PTS,10.5,10.965,8500.0,0.4649999999999998,OVER,2026-01-10,2026-01-10 23:19:05
Jaden McDaniels,AST,2.5,2.954,5400.0,0.4540000000000002,OVER,2026-01-10,2026-01-10 23:19:05
Anthony Edwards,AST,4.0,4.447,7900.0,0.447,OVER,2026-01-10,2026-01-10 23:19:05
Craig Porter,PTS,5.5,5.858,7400.0,0.3579999999999996,OVER,2026-01-10,2026-01-10 23:19:05
Kon Knueppel,REB,5.0,5.348,8200.0,0.3479999999999998,OVER,2026-01-10,2026-01-10 23:19:05
Harrison Barnes,AST,1.5,1.823,5800.0,0.3229999999999999,OVER,2026-01-10,2026-01-10 23:19:05
Andrew Nembhard,PTS,17.5,17.773,8300.0,0.2729999999999997,OVER,2026-01-10,2026-01-10 23:19:05
Tre Jones,PTS,11.5,11.715,8000.0,0.2149999999999998,OVER,2026-01-10,2026-01-10 23:19:05
Jay Huff,AST,1.5,1.714,4800.0,0.2139999999999999,OVER,2026-01-10,2026-01-10 23:19:05
Cody Williams,REB,2.5,2.692,7700.0,0.1920000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Luke Kornet,AST,1.5,1.691,7700.0,0.191,OVER,2026-01-10,2026-01-10 23:19:05
Bam Adebayo,REB,9.5,9.668,7900.0,0.1679999999999992,OVER,2026-01-10,2026-01-10 23:19:05
Payton Pritchard,REB,4.5,4.628,8900.0,0.1280000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Isaac Okoro,PTS,7.5,7.618,8400.0,0.1180000000000003,OVER,2026-01-10,2026-01-10 23:19:05
Kawhi Leonard,REB,5.5,5.613,8400.0,0.1130000000000004,OVER,2026-01-10,2026-01-10 23:19:05
Isaac Okoro,REB,3.5,3.519,8400.0,0.0190000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Neemias Queta,PTS,8.5,8.463,9500.0,-0.0370000000000008,UNDER,2026-01-10,2026-01-10 23:19:05
Klay Thompson,AST,1.5,1.429,7900.0,-0.0709999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Sam Hauser,PTS,8.5,8.423,6800.0,-0.0769999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
