player,prop,book_line,model_prediction,edge,direction,source,run_date,run_timestamp
CJ McCollum,PTS,13.5,20.089,6.588999999999999,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Ajay Mitchell,PTS,11.5,15.511,4.010999999999999,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Peyton Watson,PTS,18.5,22.451,3.951000000000001,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Luke Kornet,PTS,6.5,10.066,3.5660000000000007,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Miles McBride,PTS,11.5,14.953,3.4529999999999994,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Julian Champagnie,PTS,11.5,14.922,3.4220000000000006,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Al Horford,PTS,5.5,8.901,3.401,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Day'Ron Sharpe,PTS,6.5,9.852,3.3520000000000003,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Ryan Rollins,PTS,14.5,17.826,3.3260000000000005,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Keon Ellis,PTS,7.0,10.205,3.205,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Dyson Daniels,PTS,12.5,15.625,3.125,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Dominick Barlow,PTS,7.5,10.59,3.09,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Tyrese Maxey,PTS,27.5,30.586,3.0859999999999985,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jrue Holiday,REB,3.5,6.366,2.8659999999999997,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Toumani Camara,PTS,13.5,16.275,2.7749999999999986,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Kevin Durant,REB,5.0,7.647,2.647,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Donovan Clingan,PTS,11.5,14.052,2.5519999999999996,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Rudy Gobert,PTS,10.5,12.938,2.4380000000000006,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Steven Adams,PTS,7.5,9.841,2.3409999999999993,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Draymond Green,PTS,8.5,10.805,2.3049999999999997,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Stephen Curry,AST,4.5,6.677,2.1769999999999996,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jordan Clarkson,PTS,7.5,9.485,1.9849999999999992,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jalen Williams,PTS,18.5,20.359,1.8590000000000015,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
