player,prop,book_line,model_prediction,edge,direction,source,prop_type,run_date,run_timestamp
Jrue Holiday,PRA,20.0,28.937,8.937000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jrue Holiday,PA,16.5,23.902,7.402000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
CJ McCollum,PRA,21.5,27.908,6.408000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jrue Holiday,PR,14.5,20.818,6.318000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
CJ McCollum,PR,18.5,24.612,6.111999999999998,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Julian Champagnie,PRA,21.0,26.399,5.399000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Al Horford,PR,10.5,15.89,5.390000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jrue Holiday,PTS,10.5,15.784,5.284000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Amen Thompson,PR,27.5,32.776,5.276000000000003,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Al Horford,PRA,12.5,17.632,5.1320000000000014,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
CJ McCollum,PA,18.5,23.274,4.774000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Luke Kornet,PR,11.5,16.253,4.753,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Julian Champagnie,PR,19.0,23.711,4.7109999999999985,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jrue Holiday,RA,8.5,13.153,4.6530000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Amen Thompson,PRA,32.5,37.149,4.649000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
CJ McCollum,PTS,15.5,19.979,4.478999999999999,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Ajay Mitchell,PR,14.5,18.942,4.442,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Victor Wembanyama,PTS,21.0,25.417,4.417000000000002,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Ajay Mitchell,PRA,18.5,22.711,4.2109999999999985,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Ajay Mitchell,PTS,11.5,15.601,4.101000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Al Horford,PA,7.5,11.376,3.875999999999999,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Ajay Mitchell,PA,15.5,19.37,3.870000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Victor Wembanyama,PA,24.5,28.366,3.866,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Julian Champagnie,RA,8.5,12.342,3.842000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Kevin Durant,PR,30.5,34.04,3.539999999999999,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
