player,prop,book_line,direction,model_prediction,edge,actual_value,result
CJ McCollum,PTS,13.5,OVER,20.089,6.588999999999999,12.0,LOSS
Ajay Mitchell,PTS,11.5,OVER,15.511,4.010999999999999,16.0,WIN
Peyton Watson,PTS,18.5,OVER,22.451,3.951000000000001,19.0,WIN
Luke Kornet,PTS,6.5,OVER,10.066,3.5660000000000007,6.0,LOSS
Miles McBride,PTS,11.5,OVER,14.953,3.4529999999999994,8.0,LOSS
Julian Champagnie,PTS,11.5,OVER,14.922,3.4220000000000006,14.0,WIN
Al Horford,PTS,5.5,OVER,8.901,3.401,5.0,LOSS
Day'Ron Sharpe,PTS,6.5,OVER,9.852,3.3520000000000003,8.0,WIN
Ryan Rollins,PTS,14.5,OVER,17.826,3.3260000000000005,2.0,LOSS
Keon Ellis,PTS,7.0,OVER,10.205,3.205,0.0,LOSS
Dyson Daniels,PTS,12.5,OVER,15.625,3.125,11.0,LOSS
Dominick Barlow,PTS,7.5,OVER,10.59,3.09,13.0,WIN
Tyrese Maxey,PTS,27.5,OVER,30.586,3.0859999999999985,38.0,WIN
Jrue Holiday,REB,3.5,OVER,6.366,2.8659999999999997,2.0,LOSS
Toumani Camara,PTS,13.5,OVER,16.275,2.7749999999999986,11.0,LOSS
Kevin Durant,REB,5.0,OVER,7.647,2.647,4.0,LOSS
Donovan Clingan,PTS,11.5,OVER,14.052,2.5519999999999996,8.0,LOSS
Rudy Gobert,PTS,10.5,OVER,12.938,2.4380000000000006,2.0,LOSS
Steven Adams,PTS,7.5,OVER,9.841,2.3409999999999993,3.0,LOSS
Draymond Green,PTS,8.5,OVER,10.805,2.3049999999999997,5.0,LOSS
Stephen Curry,AST,4.5,OVER,6.677,2.1769999999999996,5.0,WIN
Jordan Clarkson,PTS,7.5,OVER,9.485,1.9849999999999992,3.0,LOSS
Jalen Williams,PTS,18.5,OVER,20.359,1.8590000000000015,18.0,LOSS
Davion Mitchell,PTS,7.0,OVER,8.801,1.8010000000000002,13.0,WIN
Shaedon Sharpe,PTS,20.5,OVER,22.257,1.7570000000000014,23.0,WIN
Mitchell Robinson,PTS,4.5,OVER,6.119,1.6189999999999998,6.0,WIN
VJ Edgecombe,REB,5.5,OVER,7.107,1.6070000000000002,4.0,LOSS
Chet Holmgren,REB,9.0,OVER,10.515,1.5150000000000006,9.0,PUSH
Harrison Barnes,PTS,9.5,OVER,11.014,1.5139999999999991,13.0,WIN
Kyle Kuzma,PTS,9.5,OVER,10.965,1.465,11.0,WIN
Oso Ighodaro,PTS,5.5,OVER,6.931,1.431,10.0,WIN
Ja'Kobe Walter,PTS,8.5,OVER,9.892,1.3919999999999997,2.0,LOSS
Paolo Banchero,REB,8.5,OVER,9.773,1.2729999999999997,8.0,LOSS
Giannis Antetokounmpo,REB,10.5,OVER,11.697,1.1969999999999992,8.0,LOSS
Keldon Johnson,PTS,12.5,OVER,13.669,1.1690000000000005,15.0,WIN
Julius Randle,PTS,21.5,OVER,22.649,1.149000000000001,15.0,LOSS
Nique Clifford,PTS,6.5,OVER,7.611,1.1109999999999998,8.0,WIN
Royce O'Neale,PTS,10.5,OVER,11.604,1.1039999999999992,19.0,WIN
Aaron Wiggins,REB,4.0,OVER,5.02,1.0199999999999996,2.0,LOSS
Jordan Poole,REB,1.5,OVER,2.512,1.012,0.0,LOSS
Joel Embiid,AST,3.5,OVER,4.49,0.9900000000000002,0.0,LOSS
Bobby Portis,PTS,11.5,OVER,12.429,0.9290000000000004,14.0,WIN
Maxime Raynaud,PTS,9.5,OVER,10.35,0.8499999999999996,12.0,WIN
Derik Queen,AST,4.5,OVER,5.272,0.7720000000000002,6.0,WIN
Donovan Clingan,REB,11.5,OVER,12.237,0.7370000000000001,8.0,LOSS
Cedric Coward,PTS,12.5,OVER,13.218,0.718,21.0,WIN
Zach LaVine,PTS,18.5,OVER,19.196,0.6960000000000015,18.0,LOSS
Justin Champagnie,PTS,8.5,OVER,9.171,0.6709999999999994,8.0,LOSS
Cedric Coward,REB,6.0,OVER,6.665,0.665,8.0,WIN
Miles McBride,REB,2.5,OVER,3.115,0.6150000000000002,0.0,LOSS
Jaylen Wells,REB,3.5,OVER,4.085,0.585,2.0,LOSS
Cam Spencer,AST,7.5,OVER,8.069,0.5690000000000008,12.0,WIN
Royce O'Neale,REB,5.5,OVER,6.035,0.5350000000000001,7.0,WIN
Khris Middleton,PTS,8.5,OVER,9.005,0.5050000000000008,2.0,LOSS
Luguentz Dort,PTS,8.5,OVER,8.999,0.4990000000000005,4.0,LOSS
Alex Caruso,REB,2.5,OVER,2.988,0.488,1.0,LOSS
Bryce McGowens,AST,1.5,OVER,1.96,0.4599999999999999,2.0,WIN
Paul George,REB,5.5,OVER,5.951,0.4509999999999996,0.0,LOSS
Aaron Wiggins,PTS,10.5,OVER,10.942,0.4420000000000001,11.0,WIN
Amen Thompson,REB,7.5,OVER,7.939,0.439,13.0,WIN
Dillon Brooks,REB,3.5,OVER,3.932,0.4319999999999999,1.0,LOSS
Scottie Barnes,PTS,18.5,OVER,18.908,0.4080000000000012,31.0,WIN
Terance Mann,PTS,8.5,OVER,8.899,0.3989999999999991,7.0,LOSS
Jeremiah Fears,REB,3.5,OVER,3.895,0.395,4.0,WIN
Harrison Barnes,REB,2.5,OVER,2.887,0.387,1.0,LOSS
Jeremiah Fears,PTS,13.5,OVER,13.88,0.3800000000000008,16.0,WIN
Paul George,AST,3.5,OVER,3.847,0.347,0.0,LOSS
Alex Caruso,AST,1.5,OVER,1.825,0.3249999999999999,2.0,WIN
Al Horford,AST,1.5,OVER,1.795,0.2949999999999999,2.0,WIN
Bryce McGowens,REB,2.5,OVER,2.788,0.2879999999999998,1.0,LOSS
Zach LaVine,AST,3.0,OVER,3.26,0.2599999999999998,1.0,LOSS
Onyeka Okongwu,PTS,14.5,OVER,14.751,0.2509999999999994,18.0,WIN
Bam Adebayo,REB,9.0,OVER,9.231,0.2309999999999998,14.0,WIN
Derik Queen,REB,9.0,OVER,9.206,0.2059999999999995,3.0,LOSS
Khris Middleton,REB,3.5,OVER,3.664,0.1640000000000001,2.0,LOSS
Dorian Finney-Smith,PTS,5.5,OVER,5.64,0.1399999999999996,4.0,LOSS
Ja'Kobe Walter,REB,3.5,OVER,3.608,0.1080000000000001,0.0,LOSS
Yves Missi,PTS,4.5,OVER,4.575,0.0750000000000001,7.0,WIN
Victor Wembanyama,AST,2.5,OVER,2.545,0.0449999999999999,1.0,LOSS
Joel Embiid,PTS,24.5,UNDER,24.464,-0.0360000000000013,0.0,WIN
Mark Williams,REB,9.0,UNDER,8.962,-0.0380000000000002,7.0,WIN
Jaden McDaniels,AST,2.5,UNDER,2.429,-0.0710000000000001,1.0,WIN
Myles Turner,PTS,10.5,UNDER,10.369,-0.1310000000000002,16.0,LOSS
Sandro Mamukelashvili,PTS,12.5,UNDER,12.349,-0.1509999999999998,0.0,WIN
Dylan Cardwell,REB,6.5,UNDER,6.278,-0.2220000000000004,10.0,LOSS
Russell Westbrook,REB,6.0,UNDER,5.771,-0.2290000000000001,6.0,PUSH
Mikal Bridges,REB,4.5,UNDER,4.267,-0.2329999999999996,6.0,LOSS
Paul George,PTS,14.5,UNDER,14.24,-0.2599999999999998,0.0,WIN
Paolo Banchero,AST,5.5,UNDER,5.223,-0.2770000000000001,8.0,LOSS
Onyeka Okongwu,REB,7.5,UNDER,7.218,-0.282,12.0,LOSS
Mitchell Robinson,REB,8.5,UNDER,8.161,-0.3390000000000004,11.0,LOSS
DeMar DeRozan,PTS,19.0,UNDER,18.628,-0.3719999999999999,22.0,LOSS
Mark Williams,PTS,11.5,UNDER,11.104,-0.3960000000000008,11.0,WIN
Cason Wallace,PTS,6.5,UNDER,6.082,-0.4180000000000001,3.0,WIN
Jaylen Wells,PTS,12.0,UNDER,11.549,-0.4510000000000005,2.0,WIN
Joel Embiid,REB,8.5,UNDER,8.044,-0.4559999999999995,0.0,WIN
Bilal Coulibaly,AST,2.5,UNDER,2.044,-0.4559999999999999,1.0,WIN
Nickeil Alexander-Walker,PTS,19.0,UNDER,18.471,-0.5289999999999999,24.0,LOSS
Russell Westbrook,PTS,14.5,UNDER,13.956,-0.5440000000000005,15.0,LOSS
Donte DiVincenzo,PTS,13.5,UNDER,12.955,-0.5449999999999999,19.0,LOSS
Stephen Curry,PTS,28.5,UNDER,27.926,-0.5740000000000016,31.0,LOSS
Dylan Harper,PTS,9.5,UNDER,8.922,-0.5779999999999994,0.0,WIN
Collin Gillespie,PTS,12.0,UNDER,11.387,-0.6129999999999995,2.0,WIN
Kel'el Ware,PTS,10.5,UNDER,9.859,-0.641,8.0,WIN
Royce O'Neale,AST,2.5,UNDER,1.857,-0.643,4.0,LOSS
Jock Landale,PTS,11.5,UNDER,10.834,-0.6660000000000004,16.0,LOSS
Jalen Johnson,REB,10.0,UNDER,9.331,-0.6690000000000005,11.0,LOSS
Bilal Coulibaly,PTS,11.5,UNDER,10.782,-0.718,12.0,LOSS
VJ Edgecombe,PTS,15.5,UNDER,14.781,-0.7189999999999994,17.0,LOSS
De'Aaron Fox,PTS,19.5,UNDER,18.7,-0.8000000000000007,12.0,WIN
