edge_bucket,n,wins,losses,pushes,avg_edge,win_rate_ex_push
<-5,50,21,29,0,-7.60314,0.42
-5 to -3,59,41,18,0,-3.7777796610169494,0.6949152542372882
-3 to -2,61,41,19,1,-2.4171311475409833,0.6833333333333333
-2 to -1,98,61,34,3,-1.5079591836734692,0.6421052631578947
-1 to -0.25,81,48,32,1,-0.5997283950617285,0.6
-0.25 to 0,31,18,12,1,-0.12803225806451624,0.6
0 to 0.25,32,13,19,0,0.12340624999999998,0.40625
0.25 to 1,105,44,60,1,0.6000285714285715,0.4230769230769231
1 to 2,69,29,39,1,1.4520144927536234,0.4264705882352941
2 to 3,27,9,18,0,2.4075185185185184,0.3333333333333333
3 to 5,37,22,15,0,3.667567567567567,0.5945945945945946
5+,5,4,1,0,6.166399999999999,0.8
