player,prop,book_line,model_prediction,edge,direction,source,prop_type,stat,proj_min,true_projection,true_edge
Alperen Sengun,PA,28.5,19.4,-9.1,UNDER,PrizePicks,combo,PA,0.0,41.955832728406264,13.455832728406264
Jrue Holiday,PRA,20.0,28.937,8.937000000000001,OVER,PrizePicks,combo,PRA,0.0,33.43366315014131,13.433663150141307
CJ McCollum,PR,18.5,24.612,6.111999999999998,OVER,PrizePicks,combo,PR,0.0,30.57106218094604,12.07106218094604
CJ McCollum,PRA,21.5,27.908,6.408000000000001,OVER,PrizePicks,combo,PRA,0.0,32.89757146235642,11.397571462356417
Aaron Gordon,PRA,31.5,22.023,-9.477,UNDER,PrizePicks,combo,PRA,0.0,42.828863860721604,11.328863860721604
CJ McCollum,PA,18.5,23.274,4.774000000000001,OVER,PrizePicks,combo,PA,0.0,29.172851726868952,10.672851726868952
Victor Wembanyama,PTS,21.0,25.417,4.417000000000002,OVER,PrizePicks,standard,PTS,0.0,31.541090703298273,10.541090703298273
Amen Thompson,PR,27.5,32.776,5.276000000000003,OVER,PrizePicks,combo,PR,0.0,37.671052696171714,10.171052696171714
Matas Buzelis,PRA,25.5,28.253,2.753,OVER,PrizePicks,combo,PRA,0.0,35.29429486146962,9.794294861469623
Nickeil Alexander-Walker,PRA,28.0,30.329,2.3290000000000006,OVER,PrizePicks,combo,PRA,0.0,37.74190191049693,9.741901910496928
Julian Champagnie,PR,19.0,23.711,4.7109999999999985,OVER,PrizePicks,combo,PR,0.0,28.5215304682821,9.521530468282101
Ajay Mitchell,PR,14.5,18.942,4.442,OVER,PrizePicks,combo,PR,0.0,24.02085723800863,9.520857238008631
Jaden McDaniels,PTS,16.5,10.368,-6.132,UNDER,PrizePicks,standard,PTS,0.0,25.674745641406954,9.174745641406954
Kevin Durant,PTS,25.5,27.6,2.1000000000000014,OVER,PrizePicks,standard,PTS,0.0,34.57619798744501,9.076197987445013
Mike Conley,PRA,14.5,9.353,-5.147,UNDER,PrizePicks,combo,PRA,0.0,23.33730027625203,8.83730027625203
Jaden McDaniels,PA,18.5,12.488,-6.0120000000000005,UNDER,PrizePicks,combo,PA,0.0,27.06188972045961,8.561889720459611
Amen Thompson,PTS,19.5,21.344,1.8440000000000012,OVER,PrizePicks,standard,PTS,0.0,28.056873049946216,8.556873049946216
Peyton Watson,PA,23.5,26.121,2.6209999999999987,OVER,PrizePicks,combo,PA,0.0,31.71639848104315,8.21639848104315
Amen Thompson,PRA,32.5,37.149,4.649000000000001,OVER,PrizePicks,combo,PRA,0.0,40.53704688483539,8.03704688483539
Alperen Sengun,PR,31.5,22.676,-8.824000000000002,UNDER,PrizePicks,combo,PR,0.0,39.273714458354284,7.773714458354284
Jaden McDaniels,PRA,24.5,16.179,-8.321000000000002,UNDER,PrizePicks,combo,PRA,0.0,32.10287548604235,7.60287548604235
Jrue Holiday,RA,8.5,13.153,4.6530000000000005,OVER,PrizePicks,combo,RA,0.0,15.897803529725554,7.397803529725554
Norman Powell,PR,23.5,24.872,1.372,OVER,PrizePicks,combo,PR,0.0,30.7514026513673,7.2514026513673
Victor Wembanyama,PA,24.5,28.366,3.866,OVER,PrizePicks,combo,PA,0.0,31.547723480120116,7.047723480120116
De'Aaron Fox,PTS,17.5,18.17,0.6700000000000017,OVER,PrizePicks,standard,PTS,0.0,24.50506393161586,7.005063931615862
Matas Buzelis,PR,22.5,25.477,2.9770000000000003,OVER,PrizePicks,combo,PR,0.0,29.063441776597,6.563441776596999
Alperen Sengun,PRA,37.5,26.576,-10.924,UNDER,PrizePicks,combo,PRA,0.0,43.93515422647347,6.435154226473472
Peyton Watson,PR,26.5,29.362,2.8619999999999983,OVER,PrizePicks,combo,PR,0.0,32.69043313894141,6.190433138941408
Kevin Durant,PRA,36.5,38.284,1.783999999999999,OVER,PrizePicks,combo,PRA,0.0,42.46163180663018,5.96163180663018
Deandre Ayton,PTS,15.5,11.187,-4.313000000000001,UNDER,PrizePicks,standard,PTS,0.0,21.35573937311642,5.855739373116421
Jaden McDaniels,PR,22.5,14.06,-8.44,UNDER,PrizePicks,combo,PR,0.0,28.201547502869392,5.701547502869392
Al Horford,PR,10.5,15.89,5.390000000000001,OVER,PrizePicks,combo,PR,0.0,16.200630010828675,5.700630010828675
Luke Kornet,PR,11.5,16.253,4.753,OVER,PrizePicks,combo,PR,0.0,16.791405275491137,5.291405275491137
Victor Wembanyama,PRA,34.0,36.765,2.765000000000001,OVER,PrizePicks,combo,PRA,0.0,39.206623383616886,5.206623383616886
Bryce McGowens,TO,0.5,2.339,1.839,OVER,PrizePicks,standard,TO,0.0,5.114838671215416,4.614838671215416
Spencer Jones,PR,13.5,13.154,-0.3460000000000001,UNDER,PrizePicks,combo,PR,0.0,18.079269893933994,4.5792698939339935
