game_date,player,prop,model_prediction,book_line,proj_min,edge,actual,stat_AST,stat_PA,stat_PR,stat_PRA,stat_PTS,stat_RA,stat_REB,stat_STL,stat_TO
2026-01-10,Julian Champagnie,PTS,19.412,11.5,0,7.911999999999999,12.0,False,False,False,False,True,False,False,False,False
2026-01-10,Jarrett Allen,PTS,16.998,12.5,0,4.498000000000001,16.0,False,False,False,False,True,False,False,False,False
2026-01-10,Davion Mitchell,PTS,10.839,6.5,0,4.339,1.0,False,False,False,False,True,False,False,False,False
2026-01-10,Victor Wembanyama,REB,12.749,9.0,0,3.749000000000001,6.0,False,False,False,False,False,False,True,False,False
2026-01-10,Sion James,PTS,8.09,4.5,0,3.59,4.0,False,False,False,False,True,False,False,False,False
2026-01-10,Nicolas Batum,PTS,6.721,3.5,0,3.221,0.0,False,False,False,False,True,False,False,False,False
2026-01-10,Ryan Kalkbrenner,PTS,9.679,6.5,0,3.1790000000000003,12.0,False,False,False,False,True,False,False,False,False
2026-01-10,Rudy Gobert,PTS,13.604,10.5,0,3.103999999999999,8.0,False,False,False,False,True,False,False,False,False
2026-01-10,Matas Buzelis,PTS,20.541,17.5,0,3.0410000000000004,15.0,False,False,False,False,True,False,False,False,False
2026-01-10,Darius Garland,PTS,21.28,18.5,0,2.780000000000001,22.0,False,False,False,False,True,False,False,False,False
2026-01-10,Luke Kornet,PTS,8.524,6.5,0,2.023999999999999,5.0,False,False,False,False,True,False,False,False,False
2026-01-10,Kel'el Ware,PTS,11.489,9.5,0,1.9890000000000008,2.0,False,False,False,False,True,False,False,False,False
2026-01-10,Anfernee Simons,PTS,14.451,12.5,0,1.9510000000000003,5.0,False,False,False,False,True,False,False,False,False
2026-01-10,Neemias Queta,REB,9.358,7.5,0,1.8580000000000003,13.0,False,False,False,False,False,False,True,False,False
2026-01-10,Norman Powell,AST,4.26,2.5,0,1.7599999999999998,1.0,True,False,False,False,False,False,False,False,False
2026-01-10,Johnny Furphy,PTS,7.189,5.5,0,1.689,10.0,False,False,False,False,True,False,False,False,False
2026-01-10,Sion James,REB,4.154,2.5,0,1.654,7.0,False,False,False,False,False,False,True,False,False
2026-01-10,Darius Garland,AST,7.815,6.5,0,1.3150000000000004,6.0,True,False,False,False,False,False,False,False,False
2026-01-10,Donovan Mitchell,REB,5.812,4.5,0,1.3120000000000005,3.0,False,False,False,False,False,False,True,False,False
2026-01-10,De'Andre Hunter,PTS,12.782,11.5,0,1.282,4.0,False,False,False,False,True,False,False,False,False
2026-01-10,Sion James,AST,2.73,1.5,0,1.23,5.0,True,False,False,False,False,False,False,False,False
2026-01-10,Victor Wembanyama,AST,3.654,2.5,0,1.154,1.0,True,False,False,False,False,False,False,False,False
2026-01-10,Darius Garland,REB,3.493,2.5,0,0.993,0.0,False,False,False,False,False,False,True,False,False
2026-01-10,Jay Huff,PTS,10.476,9.5,0,0.9760000000000008,8.0,False,False,False,False,True,False,False,False,False
2026-01-10,Ryan Kalkbrenner,AST,1.474,0.5,0,0.974,0.0,True,False,False,False,False,False,False,False,False
2026-01-10,Luka Garza,PTS,9.405,8.5,0,0.9049999999999994,11.0,False,False,False,False,True,False,False,False,False
2026-01-10,Norman Powell,PTS,22.396,21.5,0,0.8960000000000008,6.0,False,False,False,False,True,False,False,False,False
